"","Species","CB3DR_D100M1","CB3DR_D100M2","CB3DR_D100M3","CB3DR_D100M4","CB3DR_D100M5","CB3DR_DM0-FF","CB3DR_DM0Sach","CB3DR_DM10-FF","CB3DR_DM10-SPD","CB3DR_DM6-SPD","CB3DR_extblank1","CB3DR_extblank2","CB3DR_extblank3","D1000M1","D1000M2","D1000M3","D1000M4","D1000M5","D100M1","D100M2","D100M3","D100M4","D100M5","D250M1","D250M2","D250M4","D250M5","D500M1","D500M2","D500M3","D500M4","D500M5","DLarv2","DLarv3","DLarv4","DLarv5","M2ACV","M2DC","M2FF","M4DC","M4FF","M6FF","POS1","POS2","T10DC","T10FF","T10SPD","T2SPD","T4DC","T4FF","T4SPD","T6DC","T6FF","T6SPD","T8DC","T8FF","T8SPD"
"50","Synthetic_Culicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177092,262463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Synthetic_Drosophilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653324,1403273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Synthetic_Nitidulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414206,707296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Synthetic_Tephritidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113657,1914921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Synthetic_Thripidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312993,645330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Synthetic_Tortricidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430893,679607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Synthetic_Triozidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465792,1317172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Technomyrmex_jocosus",NA,NA,NA,NA,NA,NA,NA,NA,3012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Tenuiphantes_tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Tetraneura_nigriabdominalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Urophorus_humeralis",NA,NA,NA,NA,NA,NA,NA,NA,71719,720,NA,175217,14514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313165,NA,20992,280286,57014,832
"61","Zermizinga_sinuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
